date,actual,predicted,model,residual,abs_pct_error
2012-07-01,102.86428615025112,85.17656794447113,"ARIMA(2,1,2)",17.687718205779987,17.195198516173058
2012-10-01,111.62105279219777,113.36433797399141,"ARIMA(2,1,2)",-1.7432851817936381,1.5617888724263067
2013-01-01,112.26809583391461,108.83344930757455,"ARIMA(2,1,2)",3.4346465263400603,3.059325537525062
2013-04-01,103.56681893088601,106.02349235474489,"ARIMA(2,1,2)",-2.4566734238588737,2.3720661204225104
2013-07-01,107.49190484909784,103.41900293858463,"ARIMA(2,1,2)",4.07290191051321,3.7890312914548683
2013-10-01,109.50227321277966,111.72010996943554,"ARIMA(2,1,2)",-2.2178367566558848,2.0253796488281925
2014-01-01,107.19949951171876,112.17863718079465,"ARIMA(2,1,2)",-4.979137669075897,4.6447396599380495
2014-04-01,108.05190531412761,107.50504528872719,"ARIMA(2,1,2)",0.5468600254004201,0.5061086371504446
2014-07-01,107.98590885509144,113.24633453830387,"ARIMA(2,1,2)",-5.260425683212432,4.871400110426915
2014-10-01,87.97913062054178,95.97807100487887,"ARIMA(2,1,2)",-7.998940384337089,9.09186113561056
2015-01-01,49.679999923706056,54.843624796171945,"ARIMA(2,1,2)",-5.163624872465888,10.393769888075092
2015-04-01,60.96523775373186,59.48007066020558,"ARIMA(2,1,2)",1.485167093526286,2.4360884140657264
2015-07-01,56.62181802229448,64.90351448708446,"ARIMA(2,1,2)",-8.281696464789988,14.62633443088868
2015-10-01,49.21409121426669,49.24714550912212,"ARIMA(2,1,2)",-0.03305429485543243,0.0671642898200065
2016-01-01,32.212105098523594,36.14028013449534,"ARIMA(2,1,2)",-3.9281750359717478,12.194716936248264
2016-04-01,43.386666434151785,44.25751815940082,"ARIMA(2,1,2)",-0.8708517252490324,2.0071874537093777
2016-07-01,46.330999755859374,51.08962919277332,"ARIMA(2,1,2)",-4.7586294369139495,10.27094054086786
2016-10-01,51.21049976348877,47.184154455224,"ARIMA(2,1,2)",4.026345308264773,7.862343321897068
2017-01-01,55.4269998550415,57.89791000125218,"ARIMA(2,1,2)",-2.4709101462106773,4.457953980321613
2017-04-01,53.81894703915245,50.37574937164404,"ARIMA(2,1,2)",3.4431976675084073,6.397742536663778
2017-07-01,49.12550029754639,45.54386997471432,"ARIMA(2,1,2)",3.581630322832069,7.290776279404032
2017-10-01,57.64909068020907,57.68381944288483,"ARIMA(2,1,2)",-0.03472876267576197,0.060241648681692656
2018-01-01,69.02238028390067,64.3226927949258,"ARIMA(2,1,2)",4.699687488974874,6.808932797803072
2018-04-01,71.7623806908017,66.29433135619063,"ARIMA(2,1,2)",5.468049334611081,7.619659885826446
2018-07-01,74.7952386765253,74.92938585735054,"ARIMA(2,1,2)",-0.1341471808252379,0.17935256735445165
2018-10-01,80.62956635848336,81.8740361585441,"ARIMA(2,1,2)",-1.2444698000607417,1.5434410183080516
2019-01-01,60.12190500895182,52.58474038460022,"ARIMA(2,1,2)",7.537164624351604,12.5364700656597
2019-04-01,71.62857237316314,68.99452373371379,"ARIMA(2,1,2)",2.6340486394493468,3.677371406659834
2019-07-01,64.25636395541105,59.35275638043912,"ARIMA(2,1,2)",4.903607574971929,7.631318165426625
2019-10-01,59.632173289423406,64.05127784010233,"ARIMA(2,1,2)",-4.419104550678924,7.410604556085689
2020-01-01,63.5999999273391,66.67163280497805,"ARIMA(2,1,2)",-3.0716328776389474,4.829611448346205
2020-04-01,26.63142867315383,23.383422551526508,"ARIMA(2,1,2)",3.2480061216273235,12.196139236426019
2020-07-01,43.24136369878595,46.90771859774948,"ARIMA(2,1,2)",-3.666354898963526,8.478814230982412
2020-10-01,41.524091026999734,40.12134596317174,"ARIMA(2,1,2)",1.402745063827993,3.378147550336267
2021-01-01,55.35157916420385,53.45591803680778,"ARIMA(2,1,2)",1.8956611273960675,3.4247643084806536
2021-04-01,65.32857150123233,66.75267843255538,"ARIMA(2,1,2)",-1.4241069313230525,2.1799143905912417
2021-07-01,74.15714336576916,76.19861873704575,"ARIMA(2,1,2)",-2.04147537127659,2.752904546507832
2021-10-01,83.74619038899739,77.08309994555205,"ARIMA(2,1,2)",6.663090443445341,7.956290802597202
2022-01-01,85.52699966430664,70.65948697883374,"ARIMA(2,1,2)",14.867512685472903,17.38341429469977
2022-04-01,105.91699981689453,120.14200454106393,"ARIMA(2,1,2)",-14.225004724169395,13.430332004079673
2022-07-01,104.70499954223632,122.54583839222815,"ARIMA(2,1,2)",-17.840838849991826,17.039147058870974
2022-10-01,93.59380958193825,86.50754940688944,"ARIMA(2,1,2)",7.086260175048807,7.571291527400669
2023-01-01,83.87900009155274,76.41886170564933,"ARIMA(2,1,2)",7.460138385903406,8.893928608782616
2023-04-01,83.36894788240132,77.3032077333841,"ARIMA(2,1,2)",6.065740149017216,7.275778695892187
2023-07-01,80.35549964904786,74.74218706913285,"ARIMA(2,1,2)",5.613312579915004,6.985598502194761
2023-10-01,88.70409115878019,95.46229084880966,"ARIMA(2,1,2)",-6.758199690029471,7.6188139709726626
2024-01-01,79.19714319138299,75.39215482186486,"ARIMA(2,1,2)",3.804988369518128,4.804451544828106
2024-04-01,88.99999930641867,85.69979944091298,"ARIMA(2,1,2)",3.3001998655056894,3.7080897654205707
2024-07-01,83.71772731434216,82.69808772982759,"ARIMA(2,1,2)",1.0196395845145645,1.2179494322463342
2024-10-01,75.37695710555367,70.28259744992585,"ARIMA(2,1,2)",5.0943596556278266,6.758510626124068
2025-01-01,78.26333436511811,73.26750726581291,"ARIMA(2,1,2)",4.9958270993052025,6.3833558074569305
2025-04-01,66.45666703723725,70.35092973759153,"ARIMA(2,1,2)",-3.8942627003542754,5.859852553502611
2025-07-01,69.55304353133492,72.03083135865779,"ARIMA(2,1,2)",-2.477787827322871,3.5624434266583633
2025-10-01,63.95391298376995,68.16181682855812,"ARIMA(2,1,2)",-4.207903844788163,6.579587781995502
2012-07-01,102.86428615025112,111.60044844217464,Prophet,-8.73616229192352,8.492901296338012
2012-10-01,111.62105279219777,103.59071352848073,Prophet,8.030339263717039,7.1942873345469405
2013-01-01,112.26809583391461,100.09337998204991,Prophet,12.174715851864704,10.844323813842484
2013-04-01,103.56681893088601,118.21963186629884,Prophet,-14.652812935412825,14.148173214812354
2013-07-01,107.49190484909784,116.52549393825238,Prophet,-9.033589089154546,8.403971537983553
2013-10-01,109.50227321277966,110.33789899312039,Prophet,-0.8356257803407345,0.7631127243513802
2014-01-01,107.19949951171876,109.47572422728723,Prophet,-2.2762247155684747,2.1233538644643057
2014-04-01,108.05190531412761,120.44539426428007,Prophet,-12.39348895015246,11.469940223749141
2014-07-01,107.98590885509144,120.45559323443747,Prophet,-12.469684379346035,11.547510699825999
2014-10-01,87.97913062054178,112.31519123045898,Prophet,-24.336060609917197,27.661174233330172
2015-01-01,49.679999923706056,110.21729956263906,Prophet,-60.537299638933,121.8544680593812
2015-04-01,60.96523775373186,117.81227848224306,Prophet,-56.847040728511196,93.24500784880712
2015-07-01,56.62181802229448,112.43521704625407,Prophet,-55.81339902395959,98.57224824887012
2015-10-01,49.21409121426669,98.47677898636502,Prophet,-49.26268777209833,100.09874521022863
2016-01-01,32.212105098523594,85.0582193090994,Prophet,-52.846114210575806,164.05669250407962
2016-04-01,43.386666434151785,85.02013190578832,Prophet,-41.63346547163653,95.95912498791283
2016-07-01,46.330999755859374,60.23533266142291,Prophet,-13.904332905563535,30.010863091304408
2016-10-01,51.21049976348877,46.48088274521643,Prophet,4.729617018272343,9.235639253894547
2017-01-01,55.4269998550415,41.239162106287615,Prophet,14.187837748753886,25.597340259908357
2017-04-01,53.81894703915245,49.33190858569901,Prophet,4.487038453453437,8.3372839869743
2017-07-01,49.12550029754639,46.377494978361185,Prophet,2.7480053191852036,5.593846988918004
2017-10-01,57.64909068020907,38.73696271356365,Prophet,18.91212796664542,32.805596312966564
2018-01-01,69.02238028390067,38.16732608423287,Prophet,30.855054199667805,44.70297035940484
2018-04-01,71.7623806908017,50.450854759180885,Prophet,21.31152593162082,29.697350793648447
2018-07-01,74.7952386765253,54.392736112956584,Prophet,20.402502563568717,27.27780928917886
2018-10-01,80.62956635848336,52.19413139395381,Prophet,28.43543496452955,35.26675914155867
2019-01-01,60.12190500895182,52.866503484200365,Prophet,7.255401524751456,12.067817085421972
2019-04-01,71.62857237316314,60.360629484557215,Prophet,11.267942888605923,15.731072832086276
2019-07-01,64.25636395541105,59.41124013883269,Prophet,4.845123816578358,7.540301875687364
2019-10-01,59.632173289423406,56.352926424812644,Prophet,3.279246864610762,5.499123516251892
2020-01-01,63.5999999273391,51.379718077950244,Prophet,12.220281849388854,19.21427965935554
2020-04-01,26.63142867315383,59.895679048635984,Prophet,-33.26425037548215,124.90599277918058
2020-07-01,43.24136369878595,55.62736195316459,Prophet,-12.385998254378634,28.643865953576263
2020-10-01,41.524091026999734,49.89572468281708,Prophet,-8.371633655817348,20.160907677362417
2021-01-01,55.35157916420385,44.47182911203605,Prophet,10.8797500521678,19.655717535885213
2021-04-01,65.32857150123233,49.84096729256331,Prophet,15.487604208669019,23.707244552832243
2021-07-01,74.15714336576916,50.369918598874264,Prophet,23.787224766894894,32.07678139591748
2021-10-01,83.74619038899739,47.95397946873969,Prophet,35.7922109202577,42.73891236604847
2022-01-01,85.52699966430664,47.364021015252135,Prophet,38.16297864905451,44.620972089333364
2022-04-01,105.91699981689453,54.962745971915055,Prophet,50.954253844979476,48.107720132809035
2022-07-01,104.70499954223632,59.27936988839469,Prophet,45.42562965384163,43.38439410958372
2022-10-01,93.59380958193825,59.73761949528206,Prophet,33.856190086656184,36.17353566211687
2023-01-01,83.87900009155274,58.35203749697656,Prophet,25.526962594576183,30.433079276951165
2023-04-01,83.36894788240132,66.76663280821838,Prophet,16.60231507418294,19.91426723724744
2023-07-01,80.35549964904786,68.02119615439784,Prophet,12.334303494650015,15.349669342509237
2023-10-01,88.70409115878019,68.12390750178383,Prophet,20.580183656996354,23.200940777531734
2024-01-01,79.19714319138299,67.72204284278827,Prophet,11.475100348594722,14.489285706764313
2024-04-01,88.99999930641867,74.81239954723019,Prophet,14.187599759188487,15.941123449160836
2024-07-01,83.71772731434216,76.32449718855078,Prophet,7.393230125791376,8.831140503887998
2024-10-01,75.37695710555367,73.86524247681865,Prophet,1.511714628735021,2.005539473579572
2025-01-01,78.26333436511811,72.21586414837515,Prophet,6.0474702167429655,7.727079692937688
2025-04-01,66.45666703723725,77.93839365973969,Prophet,-11.481726622502435,17.27701242686298
2025-07-01,69.55304353133492,77.11587089139047,Prophet,-7.56282736005555,10.8734671785403
2025-10-01,63.95391298376995,72.4480117952747,Prophet,-8.494098811504742,13.281593596408012
2013-07-01,107.49190484909784,104.38459818817262,RandomForest,3.107306660925218,2.890735507280665
2013-10-01,109.50227321277966,106.36829258910193,RandomForest,3.1339806236777292,2.8620233459335824
2014-01-01,107.19949951171876,107.68790757036669,RandomForest,-0.48840805864793424,0.45560665942712053
2014-04-01,108.05190531412761,104.41293890905031,RandomForest,3.638966405077298,3.3677947598407676
2014-07-01,107.98590885509144,108.22074919410893,RandomForest,-0.23484033901749513,0.21747313284424205
2014-10-01,87.97913062054178,81.34411769635545,RandomForest,6.635012924186327,7.541575913955614
2015-01-01,49.679999923706056,59.939783354323126,RandomForest,-10.25978343061707,20.651738016048903
2015-04-01,60.96523775373186,57.58094431348649,RandomForest,3.384293440245372,5.551185503312844
2015-07-01,56.62181802229448,64.12449033525371,RandomForest,-7.502672312959234,13.250497025731503
2015-10-01,49.21409121426669,52.928728725197196,RandomForest,-3.7146375109305083,7.5479144677442935
2016-01-01,32.212105098523594,57.39752340863418,RandomForest,-25.185418310110585,78.18619190853482
2016-04-01,43.386666434151785,43.51077473732217,RandomForest,-0.12410830317038801,0.28605171443339156
2016-07-01,46.330999755859374,47.22052991628676,RandomForest,-0.889530160427384,1.919945965152386
2016-10-01,51.21049976348877,48.28748776873076,RandomForest,2.9230119947580064,5.707837276061906
2017-01-01,55.4269998550415,51.94109506287211,RandomForest,3.485904792169393,6.289181809021048
2017-04-01,53.81894703915245,53.39010603791459,RandomForest,0.4288410012378563,0.7968216117752752
2017-07-01,49.12550029754639,50.068619672563564,RandomForest,-0.9431193750171758,1.9198163261540984
2017-10-01,57.64909068020907,54.56951572032487,RandomForest,3.079574959884198,5.341931544015517
2018-01-01,69.02238028390067,62.652787931859905,RandomForest,6.369592352040769,9.228300046798681
2018-04-01,71.7623806908017,67.1971389293265,RandomForest,4.565241761475207,6.361608571969193
2018-07-01,74.7952386765253,75.72385625559588,RandomForest,-0.9286175790705755,1.2415463811629293
2018-10-01,80.62956635848336,78.25652221070644,RandomForest,2.3730441477769233,2.9431438800330914
2019-01-01,60.12190500895182,58.85532501402925,RandomForest,1.266579994922573,2.1066863978012442
2019-04-01,71.62857237316314,69.66906160975346,RandomForest,1.959510763409682,2.735655198041956
2019-07-01,64.25636395541105,63.66737021991793,RandomForest,0.5889937354931192,0.9166309751075167
2019-10-01,59.632173289423406,60.85579492245959,RandomForest,-1.2236216330361813,2.051948747695915
2020-01-01,63.5999999273391,64.34514936663926,RandomForest,-0.7451494393001639,1.1716186165903655
2020-04-01,26.63142867315383,35.10818366008606,RandomForest,-8.476754986932232,31.82989200829972
2020-07-01,43.24136369878595,45.26004176914295,RandomForest,-2.018678070356998,4.668395947035488
2020-10-01,41.524091026999734,44.38100507657961,RandomForest,-2.8569140495798777,6.880136274921128
2021-01-01,55.35157916420385,51.489260302493946,RandomForest,3.862318861709902,6.977793443348918
2021-04-01,65.32857150123233,66.47296542147525,RandomForest,-1.1443939202429192,1.7517510240084337
2021-07-01,74.15714336576916,75.28435963787662,RandomForest,-1.1272162721074608,1.5200373436010515
2021-10-01,83.74619038899739,75.70762422956216,RandomForest,8.038566159435234,9.598724577316826
2022-01-01,85.52699966430664,79.63254433601126,RandomForest,5.894455328295379,6.891923429362784
2022-04-01,105.91699981689453,112.03676912138977,RandomForest,-6.119769304495236,5.777891476415373
2022-07-01,104.70499954223632,111.98742929221675,RandomForest,-7.282429749980423,6.955188178041878
2022-10-01,93.59380958193825,87.61240532823246,RandomForest,5.98140425370579,6.39081182871317
2023-01-01,83.87900009155274,85.88599793371215,RandomForest,-2.0069978421594072,2.3927298131460764
2023-04-01,83.36894788240132,81.448465354368,RandomForest,1.9204825280333182,2.303594535872415
2023-07-01,80.35549964904786,76.99414156001413,RandomForest,3.361358089033729,4.183108939294061
2023-10-01,88.70409115878019,89.11746264984616,RandomForest,-0.4133714910659734,0.4660117539855508
2024-01-01,79.19714319138299,78.2917021845496,RandomForest,0.9054410068333851,1.1432748333426013
2024-04-01,88.99999930641867,87.5154118506393,RandomForest,1.4845874557793763,1.6680758060099312
2024-07-01,83.71772731434216,82.89106490324352,RandomForest,0.8266624110986385,0.9874401009414625
2024-10-01,75.37695710555367,75.43395146611068,RandomForest,-0.056994360557013124,0.07561244542838393
2025-01-01,78.26333436511811,76.57694788442238,RandomForest,1.686386480695731,2.1547593063545114
2025-04-01,66.45666703723725,66.91606163236696,RandomForest,-0.4593945951297087,0.6912693874224823
2025-07-01,69.55304353133492,70.29850847087162,RandomForest,-0.7454649395367028,1.071793413613679
2025-10-01,63.95391298376995,63.54170891585241,RandomForest,0.4122040679175427,0.6445329905335905
